cycle,instant_energy,cumulative_energy
308,-1.12,-1.152427184
309,-1.09,-1.152225806
310,-1.14,-1.152186495
311,-1.19,-1.152307692
312,-1.2,-1.152460064
313,-1.12,-1.152356688
314,-1.17,-1.152412698
315,-1.22,-1.152626582
316,-1.28,-1.153028391
317,-1.19,-1.153144654
318,-1.18,-1.15322884
319,-1.32,-1.15375
320,-1.26,-1.154080997
321,-1.18,-1.154161491
322,-1.21,-1.154334365
323,-1.33,-1.154876543
324,-1.33,-1.155415385
325,-1.35,-1.15601227
326,-1.26,-1.156330275
327,-1.14,-1.156280488
328,-1.17,-1.156322188
329,-1.2,-1.156454545
330,-1.24,-1.156706949
331,-1.18,-1.156777108
332,-1.12,-1.156666667
333,-1.26,-1.156976048
334,-1.34,-1.157522388
335,-1.32,-1.158005952
336,-1.39,-1.158694362
337,-1.35,-1.159260355
338,-1.37,-1.159882006
339,-1.24,-1.160117647
340,-1.3,-1.160527859
341,-1.4,-1.16122807
342,-1.37,-1.161836735
343,-1.32,-1.162296512
344,-1.3,-1.162695652
345,-1.36,-1.163265896
346,-1.18,-1.163314121
347,-1.23,-1.163505747
348,-1.26,-1.163782235
349,-1.3,-1.164171429
350,-1.34,-1.164672365
351,-1.34,-1.165170455
352,-1.42,-1.165892351
353,-1.31,-1.166299435
354,-1.34,-1.166788732
355,-1.14,-1.166713483
356,-1.22,-1.166862745
357,-1.15,-1.166815642
358,-1.29,-1.167158774
359,-1.23,-1.167333333
360,-1.16,-1.167313019
361,-1.23,-1.167486188
362,-1.15,-1.167438017
363,-1.17,-1.167445055
364,-1.19,-1.167506849
365,-1.28,-1.167814208
366,-1.43,-1.16852861
367,-1.35,-1.169021739
368,-1.37,-1.169566396
369,-1.35,-1.170054054
370,-1.33,-1.170485175
371,-1.36,-1.170994624
372,-1.38,-1.17155496
373,-1.3,-1.171898396
374,-1.24,-1.17208
375,-1.31,-1.172446809
376,-1.32,-1.172838196
377,-1.25,-1.173042328
378,-1.27,-1.173298153
379,-1.24,-1.173473684
380,-1.41,-1.174094488
381,-1.4,-1.174685864
382,-1.39,-1.175248042
383,-1.35,-1.175703125
384,-1.29,-1.176
385,-1.32,-1.176373057
386,-1.32,-1.176744186
387,-1.21,-1.176829897
388,-1.33,-1.17722365
389,-1.29,-1.177512821
390,-1.38,-1.178030691
391,-1.42,-1.178647959
392,-1.47,-1.179389313
393,-1.4,-1.179949239
394,-1.26,-1.180151899
395,-1.15,-1.180075758
396,-1.36,-1.180528967
397,-1.34,-1.180929648
398,-1.37,-1.181403509
399,-1.4,-1.18195
400,-1.29,-1.182219451
401,-1.21,-1.182288557
402,-1.21,-1.18235732
403,-1.3,-1.182648515
404,-1.4,-1.183185185
405,-1.22,-1.183275862
406,-1.33,-1.183636364
407,-1.32,-1.183970588
408,-1.26,-1.184156479
409,-1.2,-1.184195122
410,-1.32,-1.184525547
411,-1.4,-1.185048544
412,-1.34,-1.185423729
413,-1.44,-1.186038647
414,-1.55,-1.186915663
415,-1.55,-1.187788462
416,-1.58,-1.188729017
417,-1.63,-1.189784689
418,-1.42,-1.190334129
419,-1.38,-1.190785714
420,-1.42,-1.191330166
421,-1.27,-1.191516588
422,-1.27,-1.191702128
423,-1.24,-1.191816038
424,-1.26,-1.191976471
425,-1.36,-1.192370892
426,-1.5,-1.193091335
427,-1.42,-1.193621495
428,-1.28,-1.193822844
429,-1.3,-1.194069767
430,-1.14,-1.193944316
431,-1.26,-1.194097222
432,-1.34,-1.19443418
433,-1.4,-1.194907834
434,-1.36,-1.195287356
435,-1.38,-1.195711009
436,-1.29,-1.195926773
437,-1.39,-1.196369863
438,-1.59,-1.197266515
439,-1.59,-1.198159091
440,-1.61,-1.199092971
441,-1.55,-1.199886878
442,-1.65,-1.200902935
443,-1.62,-1.201846847
444,-1.56,-1.202651685
445,-1.57,-1.203475336
446,-1.44,-1.204004474
447,-1.41,-1.204464286
448,-1.35,-1.204788419
449,-1.34,-1.205088889
450,-1.45,-1.205631929
451,-1.44,-1.206150442
452,-1.34,-1.206445916
453,-1.28,-1.20660793
454,-1.08,-1.20632967
455,-1.05,-1.205986842
456,-1,-1.205536105
457,-1.16,-1.205436681
458,-1.17,-1.205359477
459,-1.14,-1.205217391
460,-1.14,-1.205075922
461,-1.13,-1.20491342
462,-0.9,-1.20425486
463,-0.95,-1.203706897
464,-0.98,-1.203225806
465,-0.98,-1.202746781
466,-1.05,-1.2024197
467,-1.13,-1.202264957
468,-1.1,-1.202046908
469,-1.11,-1.201851064
470,-1.18,-1.201804671
471,-1.25,-1.20190678
472,-1.29,-1.202093023
473,-1.31,-1.202320675
474,-1.19,-1.202294737
475,-1.01,-1.201890756
476,-1.04,-1.201551363
477,-0.99,-1.201108787
478,-1.14,-1.200981211
479,-1.21,-1.201
480,-1.16,-1.200914761
481,-1.1,-1.200705394
482,-1.13,-1.200559006
483,-1.25,-1.200661157
484,-1.26,-1.200783505
485,-1.2,-1.200781893
486,-1.12,-1.200616016
487,-1.08,-1.200368852
488,-1.2,-1.200368098
489,-1.2,-1.200367347
490,-1.12,-1.200203666
491,-1.2,-1.200203252
492,-1.19,-1.200182556
493,-1.27,-1.200323887
494,-1.19,-1.20030303
495,-1.29,-1.200483871
496,-1.22,-1.200523139
497,-1.25,-1.20062249
498,-1.25,-1.200721443
499,-1.25,-1.20082
500,-1.28,-1.200978044
501,-1.22,-1.201015936
502,-1.29,-1.201192843
503,-1.28,-1.201349206
504,-1.17,-1.201287129
505,-1.14,-1.201166008
506,-1.11,-1.200986193
507,-1.27,-1.201122047
508,-1.14,-1.201001965
509,-1.19,-1.200980392
510,-1.15,-1.200880626
511,-1,-1.200488281
512,-1.02,-1.200136452
513,-1.13,-1.2
514,-1.1,-1.199805825
515,-1.05,-1.199515504
516,-1.05,-1.199226306
517,-1.06,-1.198957529
518,-1.2,-1.198959538
519,-1.14,-1.198846154
520,-1.15,-1.198752399
521,-1.02,-1.198409962
522,-1.09,-1.198202677
523,-1.02,-1.197862595
524,-1.12,-1.197714286
525,-1.11,-1.197547529
526,-1.22,-1.197590133
527,-1.13,-1.197462121
528,-1.2,-1.197466919
529,-1.22,-1.197509434
530,-0.98,-1.197099812
531,-1.12,-1.196954887
532,-0.99,-1.196566604
533,-1.03,-1.196254682
534,-1.04,-1.195962617
535,-1.16,-1.195895522
536,-1.03,-1.195586592
537,-1.16,-1.195520446
538,-1.18,-1.195491651
539,-1.23,-1.195555556
540,-1.2,-1.195563771
541,-1.25,-1.195664207
542,-1.17,-1.195616943
543,-1.18,-1.195588235
544,-1.05,-1.195321101
545,-1.14,-1.19521978
546,-1.13,-1.195100548
547,-1.15,-1.195018248
548,-1.1,-1.194845173
549,-1.06,-1.1946
550,-1.15,-1.194519056
551,-1.07,-1.194293478
552,-1.12,-1.194159132
553,-1.21,-1.194187726
554,-1.25,-1.194288288
555,-1.26,-1.194406475
556,-1.2,-1.194416517
557,-1.18,-1.194390681
558,-1.18,-1.194364937
559,-1.07,-1.194142857
560,-1.24,-1.194224599
561,-1.22,-1.194270463
562,-1.15,-1.194191829
563,-1.15,-1.194113475
564,-1.08,-1.193911504
565,-1.21,-1.193939929
566,-1.15,-1.193862434
567,-1.13,-1.19375
568,-1.14,-1.193655536
569,-1.19,-1.193649123
570,-1.04,-1.193380035
571,-1.07,-1.193164336
572,-1.16,-1.193106457
573,-1.17,-1.193066202
574,-1.11,-1.192921739
575,-1.31,-1.193125
576,-1.26,-1.193240901
577,-1.15,-1.19316609
578,-1.23,-1.193229706
579,-1.17,-1.193189655
580,-1.23,-1.193253012
581,-1.22,-1.193298969
582,-1.2,-1.193310463
583,-1.29,-1.193476027
584,-1.38,-1.193794872
585,-1.36,-1.194078498
586,-1.34,-1.194327087
587,-1.41,-1.194693878
588,-1.33,-1.194923599
589,-1.34,-1.195169492
590,-1.32,-1.195380711
591,-1.29,-1.195540541
592,-1.25,-1.195632378
593,-1.23,-1.195690236
594,-1.15,-1.195613445
595,-1.08,-1.195419463
596,-1.25,-1.195510888
597,-1.28,-1.195652174
598,-1.08,-1.195459098
599,-1.1,-1.1953
600,-1.18,-1.195274542
601,-1.15,-1.195199336
602,-1.01,-1.194892206
603,-1.09,-1.194718543
604,-1.09,-1.194545455
605,-1.11,-1.194405941
606,-1.03,-1.194135091
607,-1.11,-1.193996711
608,-1.05,-1.193760263
609,-1.07,-1.193557377
610,-1.15,-1.193486088
611,-1.14,-1.193398693
612,-1.21,-1.193425775
613,-1.25,-1.193517915
614,-1.31,-1.193707317
615,-1.26,-1.193814935
616,-1.2,-1.193824959
617,-1.23,-1.193883495
618,-1.17,-1.193844911
619,-1.28,-1.193983871
620,-1.08,-1.193800322
621,-1.08,-1.193617363
622,-1.23,-1.193675762
623,-1.26,-1.193782051
624,-1.21,-1.193808
625,-1.19,-1.193801917
626,-1.27,-1.193923445
627,-1.32,-1.194124204
628,-1.3,-1.194292528
629,-1.27,-1.194412698
630,-1.34,-1.194643423
631,-1.49,-1.195110759
632,-1.53,-1.19563981
633,-1.55,-1.196198738
634,-1.53,-1.196724409
635,-1.51,-1.197216981
636,-1.43,-1.197582418
637,-1.54,-1.198119122
638,-1.44,-1.198497653
639,-1.55,-1.199046875
640,-1.46,-1.199453978
641,-1.35,-1.199688474
642,-1.46,-1.200093313
643,-1.46,-1.200496894
644,-1.48,-1.200930233
645,-1.46,-1.201331269
646,-1.61,-1.201962906
647,-1.48,-1.202391975
648,-1.52,-1.202881356
649,-1.64,-1.203553846
650,-1.62,-1.204193548
651,-1.58,-1.204769939
652,-1.49,-1.205206738
653,-1.43,-1.205550459
654,-1.44,-1.205908397
655,-1.35,-1.206128049
656,-1.33,-1.206316591
657,-1.4,-1.206610942
658,-1.45,-1.206980273
659,-1.35,-1.20719697
660,-1.4,-1.207488654
661,-1.26,-1.207567976
662,-1.21,-1.207571644
663,-1.23,-1.207605422
664,-1.25,-1.207669173
665,-1.27,-1.207762763
666,-1.11,-1.207616192
667,-1.03,-1.207350299
668,-1.14,-1.207249626
669,-1.26,-1.207328358
670,-1.18,-1.20728763
671,-1.19,-1.207261905
672,-1.26,-1.207340267
673,-1.22,-1.20735905
674,-1.17,-1.207303704
675,-1.26,-1.207381657
676,-1.33,-1.207562777
677,-1.16,-1.207492625
678,-1.16,-1.20742268
679,-1.2,-1.207411765
680,-1.13,-1.207298091
681,-1.18,-1.207258065
682,-1.1,-1.207101025
683,-1.15,-1.207017544
684,-1.15,-1.206934307
685,-1.22,-1.206953353
686,-1.33,-1.20713246
687,-1.2,-1.207122093
688,-1.11,-1.206981132
689,-1.1,-1.206826087
690,-1.12,-1.206700434
691,-1.05,-1.206473988
692,-1.02,-1.206204906
693,-1.11,-1.206066282
694,-1.18,-1.206028777
695,-1.14,-1.205933908
696,-0.99,-1.205624103
697,-0.97,-1.205286533
698,-1.11,-1.205150215
699,-1.14,-1.205057143
700,-1.15,-1.204978602
701,-1.29,-1.205099715
702,-1.22,-1.20512091
703,-1.2,-1.205113636
704,-1.38,-1.205361702
705,-1.37,-1.205594901
706,-1.31,-1.205742574
707,-1.3,-1.205875706
708,-1.36,-1.206093089
709,-1.22,-1.206112676
710,-1.3,-1.206244726
711,-1.29,-1.20636236
712,-1.32,-1.206521739
