L,T,epsilon,m_abs,Cv,chi
100,2.133333333,-1.62849336,0.84835676,0.0001043486341,0.0001424200436
100,2.166666667,-1.57946256,0.7518463,0.0002272238453,0.01065465948
100,2.183333333,-1.5694146,0.80623434,0.0001258233541,0.0002629334
100,2.15,-1.57157708,0.51703744,0.0003525719716,0.04781558846
100,2.2,-1.54931416,0.78936212,0.0001393189139,0.0004927641441
100,2.216666667,-1.51675752,0.74116166,0.0001791117188,0.001637603977
100,2.233333333,-1.4901778,0.7149804,0.0001759679718,0.001240068817
100,2.25,-1.46725728,0.69524862,0.000167029763,0.001224515836
100,2.25,-1.46725728,0.69524862,0.000167029763,0.001224515836
100,2.255263158,-1.44504772,0.62214152,0.000221731992,0.004496532868
100,2.260526316,-1.44231332,0.60989154,0.0002150947404,0.008977776396
100,2.265789474,-1.42745124,0.59415042,0.0002123657771,0.00544584097
100,2.271052632,-1.40181432,0.41170048,0.0002077775758,0.01750935432
100,2.276315789,-1.39382552,0.43650698,0.0002929756824,0.02483722878
100,2.286842105,-1.37898608,0.48545084,0.000181157864,0.004790728569
100,2.281578947,-1.36039644,0.16267228,0.0001346681089,0.005469224834
100,2.292105263,-1.36644912,0.38971196,0.0002346732874,0.01619872042
100,2.297368421,-1.34805392,0.30446264,0.0001604736963,0.0104046328
100,2.302631579,-1.34015344,0.29433694,0.0001761423687,0.01114897885
100,2.307894737,-1.32722264,0.16046176,0.0001554194729,0.008098536291
100,2.313157895,-1.33375508,0.378521,0.0001961595714,0.01055424717
100,2.318421053,-1.30910184,0.16648328,0.0001352613441,0.005952787449
100,2.323684211,-1.3107032,0.2693977,0.0001538999342,0.009771748977
100,2.328947368,-1.29654944,0.2154289,0.0001312726617,0.006833352561
100,2.334210526,-1.29004068,0.14239474,0.0001335828409,0.005061849726
100,2.339473684,-1.28259964,0.19195048,0.0001598063467,0.007456713582
100,2.344736842,-1.2767894,0.1768933,0.0001540855528,0.005520221628
100,2.35,-1.2696046,0.19385164,0.0001409751835,0.007276374886
100,2.35,-1.2696046,0.19385164,0.0001409751835,0.007276374886
100,2.355555556,-1.2583614,0.13033976,0.0001315302449,0.00337225403
100,2.361111111,-1.25011144,0.14894326,0.0001271621577,0.004217118553
100,2.366666667,-1.23977876,0.08275562,0.0001175275776,0.00163032163
100,2.377777778,-1.23369632,0.11758466,0.0001310998411,0.003037037387
100,2.372222222,-1.2418512,0.17898556,0.0001230869467,0.004456004702
100,2.383333333,-1.22421196,0.11858606,0.0001191130285,0.003315161741
100,2.388888889,-1.21772416,0.1326186,0.0001300137962,0.005135825044
100,2.394444444,-1.209907,0.1174054,0.0001136598452,0.002763160005
100,2.4,-1.20419676,0.1058434,0.0001178704371,0.003020576859
