t,x,y,z
4.125,39.4576,-5.04531,19.9997
4.1375,39.3017,-5.31611,19.9997
4.15,39.1377,-5.58209,19.9997
4.1625,38.9657,-5.84302,19.9997
4.175,38.786,-6.09866,19.9997
4.1875,38.5987,-6.34877,19.9997
4.2,38.4039,-6.59313,19.9997
4.2125,38.2018,-6.83152,19.9997
4.225,37.9927,-7.06372,19.9997
4.2375,37.7767,-7.28953,19.9997
4.25,37.554,-7.50873,19.9997
4.2625,37.3248,-7.72113,19.9997
4.275,37.0893,-7.92653,19.9996
4.2875,36.8477,-8.12476,19.9996
4.3,36.6003,-8.31562,19.9996
4.3125,36.3473,-8.49896,19.9996
4.325,36.0888,-8.67459,19.9996
4.3375,35.8252,-8.84237,19.9996
4.35,35.5566,-9.00214,19.9996
4.3625,35.2834,-9.15376,19.9996
4.375,35.0057,-9.29708,19.9996
4.3875,34.7238,-9.43198,19.9996
4.4,34.438,-9.55834,19.9996
4.4125,34.1485,-9.67605,19.9996
4.425,33.8557,-9.78498,19.9996
4.4375,33.5596,-9.88506,19.9996
4.45,33.2607,-9.97618,19.9996
4.4625,32.9592,-10.0583,19.9996
4.475,32.6553,-10.1312,19.9996
4.4875,32.3494,-10.195,19.9996
4.5,32.0418,-10.2496,19.9996
4.5125,31.7326,-10.2949,19.9996
4.525,31.4222,-10.3308,19.9996
4.5375,31.1108,-10.3574,19.9996
4.55,30.7988,-10.3746,19.9996
4.5625,30.4864,-10.3824,19.9996
4.575,30.1739,-10.3809,19.9996
4.5875,29.8616,-10.3699,19.9996
4.6,29.5498,-10.3495,19.9996
4.6125,29.2387,-10.3197,19.9996
4.625,28.9287,-10.2806,19.9996
4.6375,28.62,-10.2322,19.9996
4.65,28.3129,-10.1745,19.9996
4.6625,28.0076,-10.1076,19.9996
4.675,27.7045,-10.0316,19.9996
4.6875,27.4039,-9.94642,19.9996
4.7,27.1059,-9.85226,19.9996
4.7125,26.8109,-9.74919,19.9996
4.725,26.5191,-9.63728,19.9996
4.7375,26.2309,-9.51664,19.9996
4.75,25.9464,-9.38738,19.9996
4.7625,25.6659,-9.24962,19.9996
4.775,25.3897,-9.10348,19.9996
4.7875,25.118,-8.9491,19.9996
4.8,24.8511,-8.78661,19.9996
4.8125,24.5892,-8.61616,19.9996
4.825,24.3325,-8.43791,19.9996
4.8375,24.0813,-8.25201,19.9995
4.85,23.8358,-8.05864,19.9995
4.8625,23.5963,-7.85797,19.9995
4.875,23.3629,-7.65018,19.9995
4.8875,23.1359,-7.43546,19.9995
4.9,22.9154,-7.21401,19.9995
4.9125,22.7017,-6.98602,19.9995
4.925,22.4949,-6.75171,19.9995
4.9375,22.2953,-6.51128,19.9995
4.95,22.1031,-6.26495,19.9995
4.9625,21.9183,-6.01295,19.9995
4.975,21.7412,-5.7555,19.9995
4.9875,21.5719,-5.49284,19.9995
5,21.4106,-5.2252,19.9995
5.0125,21.2574,-4.95283,19.9995
5.025,21.1125,-4.67597,19.9995
5.0375,20.976,-4.39488,19.9995
5.05,20.848,-4.1098,19.9995
5.0625,20.7286,-3.82101,19.9995
5.075,20.618,-3.52875,19.9995
5.0875,20.5162,-3.2333,19.9995
5.1,20.4234,-2.93492,19.9995
5.1125,20.3396,-2.63388,19.9995
5.125,20.2649,-2.33045,19.9995
5.1375,20.1994,-2.02492,19.9995
5.15,20.143,-1.71754,19.9995
5.1625,20.096,-1.40862,19.9995
5.175,20.0583,-1.09842,19.9995
5.1875,20.0299,-0.787219,19.9995
5.2,20.0109,-0.475309,19.9995
5.2125,20.0013,-0.162968,19.9995
5.225,20.0011,0.14952,19.9995
5.2375,20.0103,0.461872,19.9995
5.25,20.0289,0.773807,19.9995
5.2625,20.0569,1.08504,19.9995
5.275,20.0942,1.39529,19.9995
5.2875,20.1408,1.70428,19.9995
5.3,20.1968,2.01172,19.9995
5.3125,20.2619,2.31734,19.9995
5.325,20.3362,2.62086,19.9995
5.3375,20.4197,2.92201,19.9995
5.35,20.5121,3.22051,19.9994
5.3625,20.6135,3.51609,19.9994
5.375,20.7237,3.80849,19.9994
5.3875,20.8427,4.09744,19.9994
5.4,20.9703,4.38268,19.9994
5.4125,21.1065,4.66394,19.9994
5.425,21.2511,4.94099,19.9994
5.4375,21.4039,5.21355,19.9994
5.45,21.5648,5.4814,19.9994
5.4625,21.7338,5.74428,19.9994
5.475,21.9106,6.00195,19.9994
5.4875,22.095,6.25419,19.9994
5.5,22.287,6.50077,19.9994
5.5125,22.4863,6.74145,19.9994
5.525,22.6927,6.97603,19.9994
5.5375,22.9061,7.2043,19.9994
5.55,23.1263,7.42603,19.9994
5.5625,23.3531,7.64104,19.9994
5.575,23.5862,7.84913,19.9994
5.5875,23.8255,8.0501,19.9994
5.6,24.0707,8.24379,19.9994
5.6125,24.3217,8.43001,19.9994
5.625,24.5781,8.60859,19.9994
5.6375,24.8398,8.77938,19.9994
5.65,25.1065,8.94221,19.9994
5.6625,25.378,9.09694,19.9994
5.675,25.654,9.24344,19.9994
5.6875,25.9343,9.38156,19.9994
5.7,26.2187,9.51118,19.9994
5.7125,26.5068,9.63218,19.9994
5.725,26.7984,9.74447,19.9994
5.7375,27.0933,9.84792,19.9994
5.75,27.3911,9.94246,19.9994
5.7625,27.6917,10.028,19.9994
5.775,27.9946,10.1044,19.9994
5.7875,28.2998,10.1717,19.9994
5.8,28.6068,10.2298,19.9994
5.8125,28.9155,10.2786,19.9993
5.825,29.2255,10.3181,19.9993
5.8375,29.5365,10.3483,19.9993
5.85,29.8483,10.3691,19.9993
5.8625,30.1606,10.3805,19.9993
5.875,30.4731,10.3824,19.9993
5.8875,30.7855,10.375,19.9993
5.9,31.0975,10.3582,19.9993
5.9125,31.4089,10.332,19.9993
5.925,31.7194,10.2965,19.9993
5.9375,32.0286,10.2516,19.9993
5.95,32.3364,10.1974,19.9993
5.9625,32.6423,10.134,19.9993
5.975,32.9463,10.0614,19.9993
5.9875,33.2479,9.97973,19.9993
6,33.5469,9.889,19.9993
6.0125,33.8431,9.7893,19.9993
6.025,34.1361,9.68074,19.9993
6.0375,34.4257,9.56341,19.9993
6.05,34.7117,9.43742,19.9993
6.0625,34.9937,9.30288,19.9993
6.075,35.2716,9.15991,19.9993
6.0875,35.5451,9.00865,19.9993
6.1,35.8138,8.84922,19.9993
6.1125,36.0777,8.68178,19.9993
6.125,36.3363,8.50648,19.9993
6.1375,36.5896,8.32347,19.9993
6.15,36.8373,8.13292,19.9993
6.1625,37.0791,7.935,19.9993
6.175,37.3149,7.7299,19.9993
6.1875,37.5444,7.5178,19.9993
6.2,37.7674,7.29888,19.9993
6.2125,37.9837,7.07336,19.9993
6.225,38.1931,6.84142,19.9993
6.2375,38.3954,6.60329,19.9993
6.25,38.5905,6.35918,19.9992
6.2625,38.7782,6.10931,19.9992
6.275,38.9582,5.8539,19.9992
6.2875,39.1305,5.5932,19.9992
6.3,39.2948,5.32742,19.9992
6.3125,39.4511,5.05682,19.9992
6.325,39.5992,4.78164,19.9992
6.3375,39.7389,4.50213,19.9992
6.35,39.8702,4.21854,19.9992
6.3625,39.9928,3.93113,19.9992
6.375,40.1068,3.64016,19.9992
6.3875,40.2119,3.34589,19.9992
6.4,40.3081,3.04859,19.9992
6.4125,40.3954,2.74853,19.9992
6.425,40.4736,2.44598,19.9992
6.4375,40.5426,2.14121,19.9992
6.45,40.6025,1.8345,19.9992
6.4625,40.653,1.52614,19.9992
6.475,40.6943,1.21639,19.9992
6.4875,40.7262,0.905534,19.9992
6.5,40.7488,0.593861,19.9992
6.5125,40.762,0.281651,19.9992
6.525,40.7658,-0.0308148,19.9992
6.5375,40.7601,-0.343253,19.9992
6.55,40.7451,-0.65538,19.9992
6.5625,40.7207,-0.966913,19.9992
6.575,40.6869,-1.27757,19.9992
6.5875,40.6438,-1.58707,19.9992
6.6,40.5914,-1.89513,19.9992
6.6125,40.5298,-2.20148,19.9992
6.625,40.4589,-2.50583,19.9992
6.6375,40.3789,-2.80792,19.9992
6.65,40.2899,-3.10746,19.9991
6.6625,40.1919,-3.40418,19.9991
6.675,40.085,-3.69782,19.9991
6.6875,39.9694,-3.98811,19.9991
6.7,39.845,-4.27479,19.9991
6.7125,39.7121,-4.5576,19.9991
6.725,39.5707,-4.83628,19.9991
6.7375,39.421,-5.11058,19.9991
6.75,39.2631,-5.38025,19.9991
6.7625,39.0972,-5.64505,19.9991
6.775,38.9234,-5.90473,19.9991
6.7875,38.7418,-6.15906,19.9991
6.8,38.5527,-6.40782,19.9991
6.8125,38.3562,-6.65077,19.9991
6.825,38.1524,-6.8877,19.9991
6.8375,37.9416,-7.11839,19.9991
6.85,37.724,-7.34263,19.9991
6.8625,37.4997,-7.56022,19.9991
6.875,37.269,-7.77096,19.9991
6.8875,37.032,-7.97467,19.9991
6.9,36.789,-8.17115,19.9991
6.9125,36.5402,-8.36023,19.9991
6.925,36.2859,-8.54173,19.9991
6.9375,36.0262,-8.7155,19.9991
6.95,35.7613,-8.88138,19.9991
6.9625,35.4916,-9.03921,19.9991
6.975,35.2173,-9.18885,19.9991
6.9875,34.9386,-9.33017,19.9991
7,34.6558,-9.46304,19.9991
7.0125,34.3691,-9.58734,19.9991
7.025,34.0787,-9.70295,19.999
7.0375,33.7851,-9.80978,19.999
7.05,33.4883,-9.90772,19.999
7.0625,33.1888,-9.99668,19.999
7.075,32.8867,-10.0766,19.999
7.0875,32.5823,-10.1474,19.999
7.1,32.276,-10.209,19.999
7.1125,31.9679,-10.2613,19.999
7.125,31.6584,-10.3044,19.999
7.1375,31.3477,-10.3381,19.999
7.15,31.0362,-10.3624,19.999
7.1625,30.724,-10.3774,19.999
7.175,30.4116,-10.383,19.999
7.1875,30.0991,-10.3791,19.999
7.2,29.7869,-10.3659,19.999
7.2125,29.4753,-10.3432,19.999
7.225,29.1644,-10.3112,19.999
7.2375,28.8547,-10.2699,19.999
7.25,28.5463,-10.2193,19.999
7.2625,28.2396,-10.1594,19.999
7.275,27.9349,-10.0903,19.999
7.2875,27.6323,-10.012,19.999
7.3,27.3323,-9.92473,19.999
7.3125,27.035,-9.82843,19.999
7.325,26.7408,-9.72323,19.999
7.3375,26.4498,-9.60923,19.999
7.35,26.1624,-9.48652,19.999
7.3625,25.8789,-9.35521,19.999
7.375,25.5994,-9.21543,19.999
7.3875,25.3242,-9.06731,19.9989
7.4,25.0537,-8.91097,19.9989
7.4125,24.7879,-8.74656,19.9989
7.425,24.5272,-8.57423,19.9989
7.4375,24.2719,-8.39414,19.9989
7.45,24.022,-8.20643,19.9989
