t,x1,y1,z1,x2,y2,z2
1.575,36.6823,-6.33723,21.691,56.7915,14.9818,6.19179
1.5875,36.4694,-6.56391,21.7159,56.5026,14.5695,6.22946
1.6,36.2494,-6.78439,21.741,56.2017,14.1663,6.2669
1.6125,36.0227,-6.99846,21.7664,55.8892,13.7728,6.3041
1.625,35.7893,-7.20592,21.7919,55.5652,13.3891,6.34106
1.6375,35.5494,-7.40659,21.8177,55.2302,13.0157,6.37779
1.65,35.3033,-7.60026,21.8438,54.8844,12.6529,6.41426
1.6625,35.0511,-7.78677,21.8701,54.5281,12.3009,6.45049
1.675,34.7932,-7.96593,21.8967,54.1618,11.9602,6.48647
1.6875,34.5296,-8.13756,21.9235,53.7857,11.6309,6.52218
1.7,34.2606,-8.30152,21.9506,53.4001,11.3135,6.55764
1.7125,33.9865,-8.45765,21.9779,53.0056,11.0081,6.59283
1.725,33.7075,-8.60579,22.0055,52.6024,10.7151,6.62775
1.7375,33.4238,-8.7458,22.0334,52.1908,10.4347,6.6624
1.75,33.1357,-8.87756,22.0615,51.7714,10.1671,6.69677
1.7625,32.8434,-9.00093,22.09,51.3445,9.91267,6.73086
1.775,32.5472,-9.1158,22.1187,50.9104,9.67151,6.76466
1.7875,32.2473,-9.22205,22.1477,50.4697,9.44388,6.79817
1.8,31.9439,-9.31958,22.177,50.0227,9.22997,6.83138
1.8125,31.6375,-9.40829,22.2066,49.5698,9.02997,6.8643
1.825,31.3281,-9.48811,22.2365,49.1114,8.84406,6.8969
1.8375,31.0161,-9.55894,22.2667,48.648,8.67238,6.9292
1.85,30.7017,-9.62071,22.2972,48.1801,8.5151,6.96118
1.8625,30.3852,-9.67338,22.328,47.7079,8.37235,6.99284
1.875,30.067,-9.71686,22.3592,47.2321,8.24424,7.02417
1.8875,29.7471,-9.75114,22.3907,46.7531,8.13089,7.05517
1.9,29.426,-9.77615,22.4225,46.2712,8.0324,7.08584
1.9125,29.104,-9.79188,22.4547,45.7869,7.94884,7.11617
1.925,28.7812,-9.7983,22.4872,45.3008,7.88028,7.14615
1.9375,28.458,-9.79539,22.52,44.8131,7.82679,7.17579
1.95,28.1346,-9.78316,22.5532,44.3245,7.78839,7.20507
1.9625,27.8114,-9.76161,22.5868,43.8353,7.76512,7.23398
1.975,27.4885,-9.73075,22.6207,43.3461,7.75699,7.26254
1.9875,27.1664,-9.6906,22.655,42.8572,7.764,7.29072
2,26.8452,-9.64119,22.6897,42.3691,7.78613,7.31853
2.0125,26.5252,-9.58256,22.7247,41.8824,7.82337,7.34597
2.025,26.2068,-9.51474,22.7601,41.3973,7.87566,7.37301
2.0375,25.8901,-9.43781,22.7959,40.9144,7.94296,7.39968
2.05,25.5756,-9.35181,22.8321,40.4342,8.0252,7.42595
2.0625,25.2633,-9.25683,22.8687,39.9571,8.12228,7.45182
2.075,24.9537,-9.15293,22.9057,39.4835,8.23413,7.47729
