t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
0.9,38.1064,7.76455,16.2283,24.554,-17.0195,-8.10762,54.9271,39.4632,4.2134,42.7261,-23.9601,4.05707
0.9125,38.4108,7.54735,16.1263,24.1461,-17.7294,-8.2049,55.4576,39.1564,4.26395,42.1534,-25.1193,4.03159
0.925,38.71,7.32136,16.0232,23.7179,-18.4274,-8.30156,55.9808,38.8353,4.31418,41.5477,-26.2617,4.00579
0.9375,39.0037,7.08672,15.9188,23.2697,-19.1129,-8.3976,56.4962,38.4999,4.36409,40.9094,-27.3864,3.9797
0.95,39.2916,6.84359,15.8132,22.802,-19.7854,-8.49301,57.0034,38.1507,4.41368,40.239,-28.4925,3.95331
0.9625,39.5736,6.59214,15.7065,22.3151,-20.4442,-8.58777,57.502,37.7877,4.46293,39.5372,-29.5789,3.92662
0.975,39.8494,6.33255,15.5985,21.8095,-21.0888,-8.6819,57.9917,37.4113,4.51184,38.8045,-30.6449,3.89964
0.9875,40.1188,6.06498,15.4894,21.2855,-21.7187,-8.77537,58.472,37.0217,4.56042,38.0415,-31.6895,3.87236
1,40.3815,5.78964,15.3792,20.7435,-22.3334,-8.86818,58.9426,36.6192,4.60865,37.2488,-32.7119,3.84479
1.0125,40.6373,5.50671,15.2677,20.1841,-22.9324,-8.96032,59.4031,36.204,4.65653,36.427,-33.7112,3.81693
1.025,40.886,5.2164,15.1552,19.6076,-23.5151,-9.0518,59.8531,35.7765,4.70407,35.577,-34.6866,3.78879
1.0375,41.1274,4.91891,15.0414,19.0146,-24.0812,-9.14259,60.2924,35.3369,4.75125,34.6992,-35.6374,3.76036
1.05,41.3613,4.61444,14.9266,18.4055,-24.63,-9.23269,60.7205,34.8856,4.79808,33.7946,-36.5626,3.73165
1.0625,41.5875,4.30323,14.8106,17.7809,-25.1612,-9.3221,61.1372,34.423,4.84454,32.8637,-37.4616,3.70266
1.075,41.8058,3.98549,14.6935,17.1412,-25.6743,-9.41081,61.542,33.9492,4.89064,31.9075,-38.3336,3.67339
1.0875,42.016,3.66145,14.5754,16.487,-26.1689,-9.49881,61.9347,33.4647,4.93638,30.9266,-39.1779,3.64384
1.1,42.2179,3.33134,14.4561,15.8188,-26.6446,-9.5861,62.3151,32.9699,4.98174,29.9218,-39.9938,3.61402
1.1125,42.4114,2.99542,14.3357,15.1372,-27.1009,-9.67267,62.6827,32.465,5.02673,28.8941,-40.7806,3.58393
1.125,42.5963,2.6539,14.2143,14.4427,-27.5376,-9.75851,63.0373,31.9505,5.07134,27.8443,-41.5376,3.55357
1.1375,42.7724,2.30706,14.0918,13.7359,-27.9542,-9.84361,63.3787,31.4267,5.11556,26.7731,-42.2643,3.52294
1.15,42.9396,1.95513,13.9682,13.0174,-28.3505,-9.92798,63.7066,30.894,5.15941,25.6816,-42.9601,3.49205
1.1625,43.0978,1.59838,13.8436,12.2877,-28.726,-10.0116,64.0207,30.3528,5.20286,24.5705,-43.6243,3.46089
1.175,43.2468,1.23707,13.7179,11.5475,-29.0804,-10.0945,64.3208,29.8035,5.24593,23.4409,-44.2564,3.42947
1.1875,43.3864,0.871461,13.5912,10.7975,-29.4135,-10.1766,64.6066,29.2466,5.2886,22.2936,-44.8559,3.3978
1.2,43.5167,0.501822,13.4635,10.0381,-29.725,-10.2579,64.878,28.6823,5.33087,21.1296,-45.4223,3.36587
1.2125,43.6373,0.128426,13.3348,9.27006,-30.0147,-10.3385,65.1348,28.1111,5.37275,19.9498,-45.9552,3.33369
1.225,43.7484,-0.248452,13.205,8.49398,-30.2822,-10.4183,65.3767,27.5335,5.41421,18.7553,-46.454,3.30126
1.2375,43.8497,-0.628536,13.0743,7.7105,-30.5274,-10.4973,65.6036,26.9499,5.45528,17.547,-46.9185,3.26858
1.25,43.9411,-1.01154,12.9426,6.92027,-30.7501,-10.5755,65.8153,26.3607,5.49593,16.3259,-47.3481,3.23565
1.2625,44.0226,-1.39719,12.8099,6.12395,-30.95,-10.653,66.0117,25.7664,5.53617,15.093,-47.7426,3.20248
1.275,44.0942,-1.7852,12.6763,5.32218,-31.127,-10.7296,66.1926,25.1673,5.57599,13.8493,-48.1016,3.16907
1.2875,44.1557,-2.17527,12.5417,4.51562,-31.281,-10.8054,66.3579,24.564,5.61539,12.5959,-48.4248,3.13542
1.3,44.2071,-2.56713,12.4061,3.70495,-31.4119,-10.8804,66.5075,23.9568,5.65437,11.3337,-48.712,3.10154
1.3125,44.2483,-2.96047,12.2697,2.89083,-31.5195,-10.9546,66.6412,23.3463,5.69293,10.0639,-48.9629,3.06742
1.325,44.2793,-3.35502,12.1323,2.07393,-31.6037,-11.028,66.759,22.7329,5.73106,8.78748,-49.1773,3.03307
1.3375,44.3001,-3.75047,11.994,1.25493,-31.6645,-11.1005,66.8609,22.1171,5.76875,7.50547,-49.3551,2.99849
1.35,44.3107,-4.14653,11.8548,0.434502,-31.7018,-11.1722,66.9467,21.4992,5.80602,6.21895,-49.4961,2.96369
1.3625,44.311,-4.54291,11.7147,-0.386681,-31.7155,-11.2431,67.0163,20.8798,5.84285,4.92897,-49.6002,2.92867
1.375,44.301,-4.93932,11.5737,-1.20794,-31.7058,-11.3131,67.0699,20.2593,5.87923,3.6366,-49.6672,2.89342
1.3875,44.2808,-5.33546,11.4319,-2.0286,-31.6725,-11.3823,67.1072,19.6383,5.91518,2.34291,-49.6972,2.85796
1.4,44.2503,-5.73104,11.2891,-2.84797,-31.6158,-11.4506,67.1284,19.0171,5.95068,1.04896,-49.6902,2.82229
1.4125,44.2096,-6.12576,11.1456,-3.6654,-31.5356,-11.518,67.1335,18.3962,5.98574,-0.244174,-49.646,2.7864
1.425,44.1587,-6.51933,11.0012,-4.48019,-31.432,-11.5846,67.1223,17.7761,6.02034,-1.53544,-49.5648,2.7503
1.4375,44.0976,-6.91146,10.856,-5.29169,-31.3051,-11.6503,67.0951,17.1572,6.05449,-2.82376,-49.4467,2.71399
1.45,44.0264,-7.30186,10.7099,-6.09922,-31.1551,-11.7152,67.0518,16.5401,6.08819,-4.10807,-49.2917,2.67749
1.4625,43.9451,-7.69024,10.5631,-6.90211,-30.9819,-11.7791,66.9924,15.9251,6.12143,-5.38733,-49.1,2.64078
1.475,43.8539,-8.07631,10.4155,-7.6997,-30.7859,-11.8422,66.9171,15.3127,6.15421,-6.66046,-48.8717,2.60387
1.4875,43.7527,-8.45979,10.267,-8.49135,-30.5671,-11.9044,66.8259,14.7034,6.18653,-7.92643,-48.6071,2.56676
1.5,43.6416,-8.8404,10.1179,-9.27638,-30.3257,-11.9657,66.719,14.0977,6.21838,-9.18418,-48.3063,2.52947
1.5125,43.5208,-9.21784,9.96791,-10.0542,-30.0619,-12.0261,66.5964,13.4959,6.24976,-10.4327,-47.9696,2.49198
1.525,43.3903,-9.59185,9.81721,-10.824,-29.776,-12.0856,66.4582,12.8986,6.28068,-11.6709,-47.5972,2.4543
1.5375,43.2502,-9.96215,9.66577,-11.5854,-29.4681,-12.1442,66.3046,12.3061,6.31112,-12.8978,-47.1896,2.41644
1.55,43.1007,-10.3285,9.51361,-12.3376,-29.1386,-12.2018,66.1358,11.719,6.34109,-14.1124,-46.747,2.3784
1.5625,42.9418,-10.6905,9.36073,-13.08,-28.7877,-12.2586,65.9519,11.1376,6.37058,-15.3137,-46.2697,2.34018
1.575,42.7738,-11.0481,9.20715,-13.8121,-28.4156,-12.3144,65.753,10.5624,6.39959,-16.5007,-45.7583,2.30179
1.5875,42.5966,-11.4008,9.05288,-14.5331,-28.0228,-12.3693,65.5394,9.9938,6.42812,-17.6725,-45.2131,2.26322
1.6,42.4105,-11.7486,8.89792,-15.2425,-27.6095,-12.4233,65.3113,9.43221,6.45617,-18.8279,-44.6346,2.22448
1.6125,42.2156,-12.091,8.7423,-15.9398,-27.176,-12.4763,65.0688,8.87807,6.48373,-19.9662,-44.0232,2.18557
1.625,42.012,-12.4279,8.58602,-16.6244,-26.7228,-12.5284,64.8122,8.33177,6.51081,-21.0863,-43.3795,2.1465
1.6375,41.8,-12.759,8.42909,-17.2956,-26.2502,-12.5796,64.5417,7.79371,6.53739,-22.1874,-42.704,2.10727
1.65,41.5797,-13.084,8.27153,-17.953,-25.7585,-12.6298,64.2576,7.2643,6.56349,-23.2685,-41.9972,2.06788
1.6625,41.3513,-13.4029,8.11335,-18.5959,-25.2483,-12.679,63.9601,6.74391,6.58909,-24.3287,-41.2599,2.02834
1.675,41.1149,-13.7152,7.95456,-19.224,-24.7199,-12.7274,63.6495,6.23293,6.6142,-25.3672,-40.4924,1.98864
1.6875,40.8707,-14.0208,7.79517,-19.8365,-24.1737,-12.7747,63.326,5.73172,6.63881,-26.3831,-39.6956,1.94879
1.7,40.619,-14.3195,7.6352,-20.4332,-23.6103,-12.8211,62.99,5.24066,6.66292,-27.3756,-38.8701,1.9088
1.7125,40.36,-14.611,7.47465,-21.0133,-23.03,-12.8665,62.6417,4.76009,6.68653,-28.3439,-38.0164,1.86866
1.725,40.0938,-14.8951,7.31354,-21.5766,-22.4334,-12.911,62.2815,4.29036,6.70963,-29.2871,-37.1355,1.82838
1.7375,39.8206,-15.1717,7.15188,-22.1225,-21.821,-12.9545,61.9097,3.83181,6.73224,-30.2045,-36.228,1.78797
1.75,39.5408,-15.4406,6.98968,-22.6505,-21.1932,-12.997,61.5265,3.38477,6.75433,-31.0953,-35.2946,1.74742
1.7625,39.2544,-15.7015,6.82696,-23.1603,-20.5505,-13.0385,61.1324,2.94955,6.77592,-31.9588,-34.3361,1.70674
1.775,38.9618,-15.9543,6.66372,-23.6514,-19.8936,-13.0791,60.7277,2.52647,6.797,-32.7943,-33.3533,1.66593
1.7875,38.6632,-16.1988,6.49998,-24.1234,-19.223,-13.1187,60.3126,2.11582,6.81757,-33.6011,-32.3471,1.625
1.8,38.3588,-16.4348,6.33576,-24.5759,-18.5391,-13.1573,59.8877,1.71788,6.83762,-34.3786,-31.3183,1.58394
1.8125,38.0489,-16.6622,6.17106,-25.0086,-17.8426,-13.1949,59.4533,1.33295,6.85717,-35.126,-30.2676,1.54276
1.825,37.7337,-16.8808,6.00589,-25.421,-17.1341,-13.2315,59.0097,0.961281,6.87619,-35.8428,-29.1961,1.50147
