t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
0.8625,36.514,7.88477,17.0626,23.9083,-15.1885,-6.79372,53.947,40.7742,3.52153,45.9887,-20.0245,3.10956
0.875,36.8106,7.69045,16.9771,23.5384,-15.902,-6.88667,54.5191,40.5161,3.56021,45.5426,-21.2569,3.07889
0.8875,37.1024,7.48727,16.8904,23.1479,-16.6046,-6.97922,55.0854,40.2428,3.5985,45.0616,-22.4762,3.0481
0.9,37.3892,7.27538,16.8026,22.7371,-17.2957,-7.07134,55.6455,39.9543,3.63641,44.5459,-23.6815,3.01719
0.9125,37.6708,7.05493,16.7136,22.3064,-17.9747,-7.16303,56.199,39.6508,3.67393,43.9961,-24.8717,2.98614
0.925,37.9468,6.82607,16.6235,21.8561,-18.641,-7.25428,56.7453,39.3326,3.71107,43.4124,-26.0459,2.95498
0.9375,38.2171,6.58896,16.5323,21.3866,-19.2941,-7.34508,57.2841,38.9997,3.74781,42.7955,-27.203,2.92368
0.95,38.4814,6.34377,16.4399,20.8982,-19.9334,-7.43542,57.815,38.6526,3.78416,42.1459,-28.3422,2.89226
0.9625,38.7395,6.09068,16.3464,20.3915,-20.5584,-7.52529,58.3376,38.2913,3.82011,41.4639,-29.4625,2.86072
0.975,38.9911,5.82987,16.2518,19.8667,-21.1686,-7.61468,58.8515,37.9161,3.85567,40.7503,-30.563,2.82905
0.9875,39.236,5.56153,16.156,19.3244,-21.7634,-7.70359,59.3563,37.5273,3.89084,40.0056,-31.6428,2.79726
1,39.4741,5.28585,16.0592,18.7649,-22.3424,-7.79201,59.8515,37.1251,3.92561,39.2304,-32.7009,2.76534
1.0125,39.7051,5.00304,15.9612,18.1888,-22.9051,-7.87992,60.3369,36.7098,3.95997,38.4254,-33.7366,2.7333
1.025,39.9288,4.7133,15.8622,17.5964,-23.451,-7.96733,60.812,36.2818,3.99394,37.5912,-34.7489,2.70114
1.0375,40.1449,4.41684,15.7621,16.9884,-23.9797,-8.05421,61.2766,35.8412,4.0275,36.7285,-35.7371,2.66885
1.05,40.3534,4.11388,15.6608,16.3652,-24.4906,-8.14057,61.7301,35.3885,4.06066,35.838,-36.7003,2.63645
1.0625,40.554,3.80465,15.5585,15.7272,-24.9835,-8.22639,62.1724,34.9238,4.09341,34.9204,-37.6377,2.60392
1.075,40.7465,3.48937,15.4552,15.0751,-25.4578,-8.31166,62.603,34.4476,4.12576,33.9765,-38.5486,2.57127
1.0875,40.9308,3.16828,15.3508,14.4094,-25.9132,-8.39639,63.0217,33.9602,4.15769,33.0072,-39.4322,2.5385
1.1,41.1067,2.84162,15.2453,13.7305,-26.3493,-8.48055,63.4281,33.4619,4.18922,32.0131,-40.2877,2.50562
1.1125,41.274,2.50963,15.1387,13.0392,-26.7656,-8.56415,63.8219,32.9531,4.22033,30.995,-41.1146,2.47262
1.125,41.4327,2.17256,15.0312,12.3359,-27.162,-8.64718,64.2029,32.4342,4.25103,29.954,-41.9121,2.4395
