t,fe_error,rk4_error
4.425,0.0441479,1.4822e-08
4.4375,0.0443554,1.48841e-08
4.45,0.0445697,1.49484e-08
4.4625,0.0447908,1.50149e-08
4.475,0.0450189,1.50838e-08
4.4875,0.045254,1.51549e-08
4.5,0.0454962,1.52283e-08
4.5125,0.0457457,1.53041e-08
4.525,0.0460025,1.53822e-08
4.5375,0.0462667,1.54628e-08
4.55,0.0465385,1.55459e-08
4.5625,0.0468179,1.56314e-08
4.575,0.0471051,1.57195e-08
4.5875,0.0474003,1.58102e-08
4.6,0.0477034,1.59035e-08
4.6125,0.0480148,1.59994e-08
4.625,0.0483344,1.60981e-08
4.6375,0.0486625,1.61995e-08
4.65,0.0489991,1.63037e-08
4.6625,0.0493445,1.64107e-08
4.675,0.0496988,1.65207e-08
4.6875,0.0500621,1.66336e-08
4.7,0.0504347,1.67495e-08
4.7125,0.0508166,1.68685e-08
4.725,0.0512081,1.69906e-08
4.7375,0.0516094,1.71158e-08
4.75,0.0520205,1.72443e-08
4.7625,0.0524417,1.73762e-08
4.775,0.0528733,1.75113e-08
4.7875,0.0533153,1.76499e-08
4.8,0.053768,1.7792e-08
4.8125,0.0542317,1.79376e-08
4.825,0.0547064,1.80869e-08
4.8375,0.0551924,1.82399e-08
4.85,0.05569,1.83966e-08
4.8625,0.0561994,1.85572e-08
4.875,0.0567207,1.87216e-08
4.8875,0.0572543,1.88901e-08
4.9,0.0578003,1.90627e-08
4.9125,0.058359,1.92394e-08
4.925,0.0589306,1.94203e-08
4.9375,0.0595155,1.96055e-08
4.95,0.0601137,1.97951e-08
4.9625,0.0607256,1.99892e-08
4.975,0.0613514,2.01878e-08
4.9875,0.0619914,2.03911e-08
5,0.0626457,2.0599e-08
5.0125,0.0633148,2.08118e-08
5.025,0.0639987,2.10294e-08
5.0375,0.0646977,2.12519e-08
5.05,0.0654122,2.14795e-08
5.0625,0.0661422,2.17122e-08
5.075,0.066888,2.195e-08
5.0875,0.0676499,2.21931e-08
5.1,0.068428,2.24415e-08
5.1125,0.0692225,2.26953e-08
5.125,0.0700337,2.29545e-08
5.1375,0.0708616,2.32192e-08
5.15,0.0717064,2.34894e-08
5.1625,0.0725683,2.37652e-08
5.175,0.0734472,2.40465e-08
5.1875,0.0743434,2.43336e-08
5.2,0.0752568,2.46262e-08
5.2125,0.0761874,2.49245e-08
5.225,0.0771351,2.52284e-08
5.2375,0.0781,2.55379e-08
5.25,0.0790819,2.5853e-08
5.2625,0.0800805,2.61735e-08
5.275,0.0810957,2.64995e-08
5.2875,0.0821271,2.68308e-08
5.3,0.0831744,2.71673e-08
5.3125,0.0842372,2.75089e-08
5.325,0.0853148,2.78554e-08
5.3375,0.0864066,2.82065e-08
5.35,0.087512,2.85621e-08
5.3625,0.0886302,2.89219e-08
5.375,0.0897602,2.92856e-08
5.3875,0.090901,2.96528e-08
5.4,0.0920513,3.00233e-08
5.4125,0.0932101,3.03965e-08
5.425,0.0943757,3.0772e-08
5.4375,0.0955468,3.11493e-08
5.45,0.0967215,3.15279e-08
5.4625,0.0978981,3.19071e-08
5.475,0.0990745,3.22864e-08
5.4875,0.100249,3.26649e-08
5.5,0.101418,3.30421e-08
5.5125,0.102581,3.34171e-08
5.525,0.103734,3.3789e-08
5.5375,0.104875,3.4157e-08
5.55,0.106001,3.45202e-08
5.5625,0.107108,3.48777e-08
5.575,0.108195,3.52284e-08
5.5875,0.109258,3.55713e-08
5.6,0.110293,3.59054e-08
5.6125,0.111298,3.62297e-08
5.625,0.112269,3.65431e-08
5.6375,0.113204,3.68446e-08
5.65,0.114098,3.71331e-08
5.6625,0.114949,3.74077e-08
5.675,0.115754,3.76673e-08
5.6875,0.11651,3.79111e-08
5.7,0.117214,3.81382e-08
5.7125,0.117864,3.83478e-08
5.725,0.118458,3.85392e-08
5.7375,0.118994,3.87116e-08
5.75,0.119469,3.88647e-08
5.7625,0.119883,3.89978e-08
5.775,0.120235,3.91107e-08
5.7875,0.120524,3.92032e-08
5.8,0.120749,3.92751e-08
5.8125,0.12091,3.93264e-08
5.825,0.121008,3.93572e-08
5.8375,0.121044,3.93677e-08
5.85,0.121018,3.93582e-08
5.8625,0.120932,3.93292e-08
5.875,0.120787,3.92812e-08
5.8875,0.120586,3.92147e-08
5.9,0.12033,3.91305e-08
5.9125,0.120021,3.90293e-08
5.925,0.119662,3.89118e-08
5.9375,0.119256,3.87791e-08
5.95,0.118806,3.86318e-08
5.9625,0.118314,3.84711e-08
5.975,0.117783,3.82977e-08
5.9875,0.117217,3.81127e-08
6,0.116617,3.79171e-08
6.0125,0.115988,3.77117e-08
6.025,0.115332,3.74975e-08
6.0375,0.114652,3.72755e-08
6.05,0.11395,3.70465e-08
6.0625,0.11323,3.68114e-08
6.075,0.112493,3.65711e-08
6.0875,0.111743,3.63264e-08
6.1,0.110982,3.6078e-08
6.1125,0.110212,3.58266e-08
6.125,0.109436,3.5573e-08
6.1375,0.108654,3.53177e-08
6.15,0.10787,3.50615e-08
6.1625,0.107084,3.48049e-08
6.175,0.106299,3.45483e-08
6.1875,0.105516,3.42924e-08
6.2,0.104736,3.40374e-08
6.2125,0.103961,3.37839e-08
6.225,0.103192,3.35323e-08
6.2375,0.102429,3.32828e-08
6.25,0.101675,3.30358e-08
6.2625,0.100929,3.27916e-08
6.275,0.100193,3.25505e-08
6.2875,0.0994675,3.23126e-08
6.3,0.0987527,3.20781e-08
6.3125,0.0980493,3.18473e-08
6.325,0.0973579,3.16203e-08
6.3375,0.0966789,3.13973e-08
6.35,0.0960128,3.11783e-08
6.3625,0.0953597,3.09635e-08
6.375,0.0947201,3.0753e-08
6.3875,0.0940941,3.05468e-08
6.4,0.093482,3.0345e-08
6.4125,0.0928838,3.01477e-08
6.425,0.0922998,2.99548e-08
6.4375,0.09173,2.97665e-08
6.45,0.0911744,2.95827e-08
6.4625,0.0906332,2.94035e-08
6.475,0.0901064,2.92288e-08
6.4875,0.0895939,2.90587e-08
6.5,0.0890958,2.88932e-08
6.5125,0.088612,2.87322e-08
6.525,0.0881424,2.85757e-08
6.5375,0.0876871,2.84237e-08
6.55,0.0872459,2.82763e-08
6.5625,0.0868188,2.81332e-08
6.575,0.0864056,2.79947e-08
6.5875,0.0860064,2.78605e-08
6.6,0.085621,2.77307e-08
6.6125,0.0852492,2.76052e-08
6.625,0.0848911,2.7484e-08
6.6375,0.0845465,2.73672e-08
6.65,0.0842153,2.72545e-08
6.6625,0.0838973,2.7146e-08
6.675,0.0835926,2.70417e-08
6.6875,0.0833008,2.69415e-08
6.7,0.0830221,2.68455e-08
6.7125,0.0827562,2.67534e-08
6.725,0.082503,2.66654e-08
6.7375,0.0822625,2.65814e-08
6.75,0.0820346,2.65013e-08
6.7625,0.081819,2.64251e-08
6.775,0.0816158,2.63528e-08
6.7875,0.0814249,2.62844e-08
6.8,0.0812461,2.62197e-08
6.8125,0.0810793,2.61589e-08
6.825,0.0809246,2.61018e-08
6.8375,0.0807818,2.60485e-08
6.85,0.0806507,2.59989e-08
6.8625,0.0805315,2.59529e-08
6.875,0.0804239,2.59106e-08
6.8875,0.0803279,2.5872e-08
6.9,0.0802435,2.58369e-08
6.9125,0.0801705,2.58055e-08
6.925,0.080109,2.57776e-08
6.9375,0.0800589,2.57533e-08
6.95,0.0800202,2.57326e-08
6.9625,0.0799927,2.57153e-08
6.975,0.0799766,2.57016e-08
6.9875,0.0799717,2.56914e-08
7,0.079978,2.56847e-08
7.0125,0.0799954,2.56815e-08
7.025,0.0800241,2.56817e-08
7.0375,0.0800639,2.56855e-08
7.05,0.0801149,2.56927e-08
7.0625,0.080177,2.57033e-08
7.075,0.0802503,2.57175e-08
7.0875,0.0803347,2.57351e-08
7.1,0.0804303,2.57562e-08
7.1125,0.0805371,2.57807e-08
7.125,0.080655,2.58087e-08
7.1375,0.0807842,2.58402e-08
7.15,0.0809247,2.58752e-08
7.1625,0.0810764,2.59137e-08
7.175,0.0812395,2.59557e-08
7.1875,0.0814139,2.60012e-08
7.2,0.0815997,2.60503e-08
7.2125,0.0817969,2.61029e-08
7.225,0.0820057,2.6159e-08
7.2375,0.0822261,2.62188e-08
7.25,0.0824581,2.62822e-08
7.2625,0.0827018,2.63491e-08
7.275,0.0829573,2.64198e-08
7.2875,0.0832247,2.6494e-08
7.3,0.083504,2.6572e-08
7.3125,0.0837954,2.66537e-08
7.325,0.0840989,2.67392e-08
7.3375,0.0844146,2.68284e-08
7.35,0.0847426,2.69214e-08
7.3625,0.085083,2.70183e-08
7.375,0.085436,2.71191e-08
7.3875,0.0858017,2.72237e-08
7.4,0.0861801,2.73323e-08
7.4125,0.0865714,2.74449e-08
7.425,0.0869757,2.75615e-08
7.4375,0.0873932,2.76821e-08
7.45,0.087824,2.78069e-08
7.4625,0.0882681,2.79357e-08
7.475,0.0887259,2.80688e-08
7.4875,0.0891973,2.82061e-08
7.5,0.0896826,2.83476e-08
7.5125,0.0901818,2.84935e-08
7.525,0.0906952,2.86437e-08
7.5375,0.0912229,2.87984e-08
7.55,0.0917651,2.89575e-08
7.5625,0.0923219,2.91211e-08
7.575,0.0928935,2.92892e-08
7.5875,0.09348,2.9462e-08
7.6,0.0940816,2.96394e-08
7.6125,0.0946984,2.98215e-08
7.625,0.0953307,3.00083e-08
7.6375,0.0959785,3.02e-08
7.65,0.0966421,3.03965e-08
7.6625,0.0973215,3.05979e-08
7.675,0.098017,3.08042e-08
7.6875,0.0987287,3.10155e-08
7.7,0.0994567,3.12319e-08
7.7125,0.100201,3.14533e-08
7.725,0.100962,3.16798e-08
7.7375,0.10174,3.19115e-08
7.75,0.102535,3.21483e-08
7.7625,0.103346,3.23904e-08
7.775,0.104175,3.26377e-08
7.7875,0.105021,3.28903e-08
7.8,0.105884,3.31482e-08
7.8125,0.106764,3.34114e-08
7.825,0.107661,3.36798e-08
7.8375,0.108576,3.39536e-08
7.85,0.109508,3.42327e-08
7.8625,0.110457,3.45171e-08
7.875,0.111423,3.48068e-08
7.8875,0.112406,3.51017e-08
7.9,0.113406,3.54019e-08
7.9125,0.114423,3.57071e-08
7.925,0.115457,3.60175e-08
7.9375,0.116507,3.63329e-08
7.95,0.117573,3.66532e-08
7.9625,0.118654,3.69784e-08
7.975,0.119751,3.73082e-08
7.9875,0.120863,3.76426e-08
8,0.121989,3.79815e-08
8.0125,0.123129,3.83246e-08
8.025,0.124282,3.86717e-08
8.0375,0.125447,3.90226e-08
8.05,0.126625,3.93772e-08
8.0625,0.127813,3.97351e-08
8.075,0.12901,4.0096e-08
8.0875,0.130217,4.04596e-08
8.1,0.131432,4.08257e-08
8.1125,0.132653,4.11937e-08
8.125,0.133879,4.15633e-08
8.1375,0.135109,4.19342e-08
8.15,0.136342,4.23057e-08
8.1625,0.137575,4.26775e-08
8.175,0.138807,4.3049e-08
8.1875,0.140037,4.34196e-08
8.2,0.141262,4.37888e-08
8.2125,0.14248,4.4156e-08
8.225,0.143689,4.45204e-08
8.2375,0.144887,4.48815e-08
8.25,0.146072,4.52385e-08
8.2625,0.147242,4.55907e-08
8.275,0.148393,4.59374e-08
8.2875,0.149524,4.62777e-08
8.3,0.150631,4.6611e-08
8.3125,0.151713,4.69363e-08
8.325,0.152767,4.72529e-08
8.3375,0.153789,4.756e-08
8.35,0.154778,4.78568e-08
8.3625,0.15573,4.81424e-08
8.375,0.156644,4.84161e-08
8.3875,0.157515,4.86771e-08
8.4,0.158344,4.89246e-08
8.4125,0.159125,4.91579e-08
8.425,0.159858,4.93764e-08
8.4375,0.160541,4.95793e-08
8.45,0.161171,4.97661e-08
8.4625,0.161746,4.99363e-08
8.475,0.162266,5.00892e-08
8.4875,0.162728,5.02246e-08
8.5,0.163131,5.0342e-08
8.5125,0.163475,5.04412e-08
8.525,0.163758,5.05219e-08
8.5375,0.16398,5.05839e-08
8.55,0.164142,5.06273e-08
8.5625,0.164242,5.0652e-08
8.575,0.164282,5.06582e-08
8.5875,0.164261,5.06459e-08
8.6,0.164181,5.06154e-08
8.6125,0.164042,5.0567e-08
8.625,0.163846,5.05011e-08
8.6375,0.163594,5.0418e-08
8.65,0.163288,5.03184e-08
8.6625,0.162929,5.02028e-08
8.675,0.162519,5.00716e-08
8.6875,0.162061,4.99257e-08
8.7,0.161556,4.97656e-08
8.7125,0.161008,4.95921e-08
8.725,0.160418,4.94058e-08
8.7375,0.159788,4.92076e-08
8.75,0.159122,4.89981e-08
8.7625,0.158421,4.87783e-08
8.775,0.157688,4.85487e-08
8.7875,0.156927,4.83103e-08
8.8,0.156138,4.80638e-08
8.8125,0.155326,4.78099e-08
8.825,0.154491,4.75493e-08
8.8375,0.153638,4.72829e-08
8.85,0.152767,4.70113e-08
8.8625,0.151881,4.67352e-08
8.875,0.150982,4.64552e-08
8.8875,0.150073,4.61721e-08
8.9,0.149155,4.58864e-08
8.9125,0.148231,4.55986e-08
8.925,0.147302,4.53095e-08
8.9375,0.146369,4.50194e-08
8.95,0.145435,4.47289e-08
8.9625,0.144502,4.44384e-08
8.975,0.143569,4.41484e-08
8.9875,0.14264,4.38593e-08
9,0.141715,4.35716e-08
9.0125,0.140795,4.32855e-08
9.025,0.139881,4.30013e-08
9.0375,0.138975,4.27195e-08
9.05,0.138077,4.24403e-08
9.0625,0.137189,4.21639e-08
9.075,0.136311,4.18906e-08
9.0875,0.135443,4.16206e-08
9.1,0.134587,4.13542e-08
9.1125,0.133744,4.10915e-08
9.125,0.132913,4.08326e-08
9.1375,0.132095,4.05777e-08
9.15,0.13129,4.0327e-08
9.1625,0.1305,4.00806e-08
9.175,0.129724,3.98386e-08
9.1875,0.128963,3.9601e-08
9.2,0.128217,3.93681e-08
9.2125,0.127486,3.91397e-08
9.225,0.126771,3.8916e-08
9.2375,0.126071,3.86971e-08
9.25,0.125387,3.8483e-08
9.2625,0.124719,3.82738e-08
9.275,0.124067,3.80694e-08
9.2875,0.123432,3.78698e-08
9.3,0.122812,3.76752e-08
9.3125,0.122209,3.74855e-08
9.325,0.121622,3.73007e-08
9.3375,0.121051,3.71209e-08
9.35,0.120497,3.6946e-08
9.3625,0.119959,3.6776e-08
9.375,0.119437,3.66109e-08
9.3875,0.118932,3.64507e-08
9.4,0.118442,3.62954e-08
9.4125,0.117969,3.6145e-08
9.425,0.117513,3.59995e-08
9.4375,0.117072,3.58588e-08
9.45,0.116647,3.57229e-08
9.4625,0.116239,3.55919e-08
9.475,0.115846,3.54656e-08
9.4875,0.11547,3.53441e-08
9.5,0.115109,3.52274e-08
9.5125,0.114764,3.51153e-08
9.525,0.114434,3.5008e-08
9.5375,0.114121,3.49054e-08
9.55,0.113822,3.48074e-08
9.5625,0.11354,3.47141e-08
9.575,0.113273,3.46254e-08
9.5875,0.113021,3.45413e-08
9.6,0.112785,3.44618e-08
9.6125,0.112564,3.43868e-08
9.625,0.112358,3.43164e-08
