t,x,y,z,vx,vy,vz
0.4625,26.2945,9.26064,18.9866,24.7667,10.426,-4.3739
0.465625,26.3719,9.29322,18.9729,24.865,10.2466,-4.40242
0.46875,26.4496,9.32525,18.9592,24.962,10.0665,-4.43093
0.471875,26.5276,9.3567,18.9453,25.0577,9.88575,-4.45941
0.475,26.6059,9.3876,18.9314,25.152,9.70426,-4.48787
0.478125,26.6845,9.41792,18.9174,25.2451,9.52209,-4.51631
0.48125,26.7634,9.44768,18.9033,25.3369,9.33924,-4.54472
0.484375,26.8426,9.47686,18.8891,25.4273,9.15571,-4.57312
0.4875,26.922,9.50548,18.8748,25.5165,8.97153,-4.60149
0.490625,27.0018,9.53351,18.8604,25.6043,8.7867,-4.62985
0.49375,27.0818,9.56097,18.8459,25.6907,8.60123,-4.65818
0.496875,27.1621,9.58785,18.8314,25.7759,8.41513,-4.68649
0.5,27.2426,9.61415,18.8167,25.8597,8.22841,-4.71478
0.503125,27.3234,9.63986,18.802,25.9421,8.04108,-4.74304
0.50625,27.4045,9.66499,18.7872,26.0232,7.85315,-4.77128
0.509375,27.4858,9.68953,18.7723,26.103,7.66462,-4.79951
0.5125,27.5674,9.71348,18.7573,26.1814,7.47551,-4.8277
0.515625,27.6492,9.73684,18.7422,26.2584,7.28583,-4.85588
0.51875,27.7313,9.75961,18.727,26.3341,7.09559,-4.88403
0.521875,27.8135,9.78178,18.7117,26.4083,6.9048,-4.91216
0.525,27.8961,9.80336,18.6964,26.4813,6.71346,-4.94027
0.528125,27.9788,9.82434,18.6809,26.5528,6.52159,-4.96835
0.53125,28.0618,9.84472,18.6654,26.623,6.32919,-4.99641
0.534375,28.145,9.8645,18.6498,26.6918,6.13629,-5.02445
0.5375,28.2284,9.88368,18.6341,26.7591,5.94288,-5.05246
0.540625,28.312,9.90225,18.6183,26.8251,5.74897,-5.08045
0.54375,28.3959,9.92021,18.6024,26.8897,5.55459,-5.10842
0.546875,28.4799,9.93757,18.5865,26.9529,5.35973,-5.13636
0.55,28.5641,9.95432,18.5704,27.0147,5.16441,-5.16427
0.553125,28.6485,9.97046,18.5543,27.0751,4.96863,-5.19217
0.55625,28.7332,9.98599,18.5381,27.1341,4.77241,-5.22004
0.559375,28.8179,10.0009,18.5217,27.1917,4.57576,-5.24788
0.5625,28.9029,10.0152,18.5053,27.2479,4.37869,-5.2757
0.565625,28.9881,10.0289,18.4889,27.3026,4.1812,-5.30349
0.56875,29.0734,10.0419,18.4723,27.3559,3.98332,-5.33126
0.571875,29.1589,10.0544,18.4556,27.4078,3.78504,-5.35901
0.575,29.2445,10.0662,18.4389,27.4583,3.58638,-5.38673
0.578125,29.3303,10.0774,18.422,27.5073,3.38735,-5.41442
0.58125,29.4163,10.088,18.4051,27.5549,3.18795,-5.44209
0.584375,29.5024,10.098,18.3881,27.601,2.98821,-5.46973
0.5875,29.5887,10.1073,18.371,27.6458,2.78813,-5.49735
0.590625,29.6751,10.116,18.3538,27.6891,2.58771,-5.52494
0.59375,29.7616,10.1241,18.3366,27.7309,2.38698,-5.55251
0.596875,29.8482,10.1316,18.3192,27.7713,2.18594,-5.58005
0.6,29.935,10.1384,18.3018,27.8102,1.98459,-5.60756
0.603125,30.0219,10.1446,18.2843,27.8477,1.78296,-5.63505
0.60625,30.109,10.1502,18.2667,27.8838,1.58106,-5.66251
0.609375,30.1961,10.1551,18.249,27.9184,1.37888,-5.68994
0.6125,30.2833,10.1594,18.2312,27.9515,1.17645,-5.71735
0.615625,30.3707,10.1631,18.2133,27.9832,0.973771,-5.74473
0.61875,30.4581,10.1662,18.1954,28.0134,0.770856,-5.77208
0.621875,30.5457,10.1686,18.1773,28.0422,0.567715,-5.79941
0.625,30.6333,10.1703,18.1592,28.0695,0.364359,-5.82671
0.628125,30.721,10.1715,18.141,28.0953,0.160799,-5.85398
0.63125,30.8088,10.172,18.1227,28.1197,-0.0429553,-5.88123
0.634375,30.8967,10.1718,18.1043,28.1426,-0.246893,-5.90844
0.6375,30.9846,10.1711,18.0859,28.164,-0.451004,-5.93563
0.640625,31.0727,10.1697,18.0673,28.184,-0.655276,-5.96279
0.64375,31.1607,10.1676,18.0487,28.2025,-0.859701,-5.98992
0.646875,31.2489,10.1649,18.03,28.2195,-1.06427,-6.01703
0.65,31.337,10.1616,18.0111,28.235,-1.26896,-6.04411
0.653125,31.4253,10.1576,17.9923,28.2491,-1.47378,-6.07115
0.65625,31.5136,10.153,17.9733,28.2617,-1.67871,-6.09817
0.659375,31.6019,10.1478,17.9542,28.2728,-1.88373,-6.12516
0.6625,31.6902,10.1419,17.9351,28.2825,-2.08884,-6.15213
0.665625,31.7786,10.1354,17.9159,28.2906,-2.29403,-6.17906
0.66875,31.867,10.1282,17.8966,28.2973,-2.49929,-6.20596
0.671875,31.9555,10.1204,17.8772,28.3026,-2.7046,-6.23284
0.675,32.0439,10.1119,17.8577,28.3063,-2.90996,-6.25969
0.678125,32.1324,10.1028,17.8381,28.3085,-3.11535,-6.2865
0.68125,32.2208,10.0931,17.8185,28.3093,-3.32077,-6.31329
0.684375,32.3093,10.0827,17.7987,28.3086,-3.5262,-6.34005
0.6875,32.3977,10.0717,17.7789,28.3064,-3.73164,-6.36677
0.690625,32.4862,10.0601,17.759,28.3028,-3.93707,-6.39347
0.69375,32.5747,10.0477,17.7391,28.2976,-4.14247,-6.42014
0.696875,32.6631,10.0348,17.719,28.291,-4.34785,-6.44678
0.7,32.7515,10.0212,17.6989,28.2829,-4.55319,-6.47338
